""	MES	NPC	OPC	AC
AC243960.1	0.517957448361581	-0.00541446580970733	-0.422781539711334	0.343698930095068
AC103996.2	0.348901077003587	-0.322834142076208	-0.31517734828781	0.303159969533814
DGUOK-AS1	0.296555821886243	-0.173512956207127	-0.256834771405095	0.219243495445938
CD3E	0.523829162116979	-0.130693604031401	-0.439360383969225	0.511120954878289
AL161747.2	0.0553347448967293	-0.0713234535977133	-0.271826830066512	0.40256803437605
SKAP1	0.508057734931351	-0.102893851944291	-0.370044701749285	0.344050210675147
AC024267.6	0.03367407992697	-0.053840648567012	-0.0465714130465452	-0.011239864152989
AC022001.3	0.137241346833822	-0.431347638528186	-0.0756288599620852	0.238590254933966
AL590133.1	0.373903751888883	-0.0577593076976268	-0.224087786518641	0.234204715141207
CD8A	0.0555223051187698	-0.114070901441156	-0.0668430027179427	-0.0341300644944127
AL356489.4	0.374497833908135	-0.206623125161691	-0.271410084431512	0.418310022597036
AL357033.2	0.232478247668419	-0.337420095922533	-0.219383376380828	0.4373268508057
TRAT1	0.37578840443771	-0.1007178811902	-0.402901622138593	0.420524434255743
ICOS	0.21921490422578	0.0332098708229229	-0.347039027180487	0.342828955057187
AC025171.3	0.300387666616804	0.196307338909056	-0.375986758518064	0.200382969365351
IL1RL2	0.423968310241465	-0.108450389265011	-0.315741796569597	0.265271747976071
U62317.1	0.406436327468678	-0.0813970475195267	-0.353062164675538	0.269374487799374
HIST1H2BH	0.512772117245175	-0.110195607456183	-0.396792497535211	0.396750322764675
SLAMF1	0.395364665624824	-0.0738730512773946	-0.431182438964669	0.445918727150331
AC010255.3	0.238184723281274	-0.229409059986696	-0.21910501423646	0.456307740068424
AC079804.3	0.280242747773464	-0.281140318503617	-0.245784109430052	0.436224714487747
AC007370.1	0.123839252295348	-0.253522722642521	-0.106226653989692	0.214548653022023
AL445985.2	0.398192130916642	-0.259973904552475	-0.301921258730437	0.432659357854696
DDX43	0.295045675193128	-0.182564389116582	-0.146104029162942	0.166266540837408
SIRPG	0.400260263575094	-0.0565047949990015	-0.346818353629319	0.254386188075981
RHOH	0.381151860953902	-0.0166980851876423	-0.312756669042491	0.251733688830985
KCNK17	0.34769077704608	-0.132017672078136	-0.192253086935148	0.17184185720627
AP1M2	0.34769077704608	-0.132017672078136	-0.192253086935148	0.17184185720627
GZMH	0.428643357636295	0.0839497306466232	-0.39938636420404	0.226360394603756
AC106845.1	0.469653168929152	-0.175396177915266	-0.439022811190222	0.451600219671623
CST7	0.312025521346466	0.107381732593801	-0.371013028015531	0.226027399821834
PTH2R	-0.0322721417595925	-0.128600520585407	-0.0130479208789968	0.154975122065572
CD8B	0.420494826469067	-0.185188073815333	-0.282854694793329	0.21674363034749
NEUROD6	0.242215765994045	-0.0724522445372918	-0.383377418273777	0.498006148045009
AC022306.3	0.271471642310279	-0.366524090343563	-0.174486447869873	0.222699360188984
AC027088.5	0.0164536697878572	-0.290787091395446	-0.121683551371818	0.107736201035784
LINC01146	0.445558841017221	-0.0715302293551729	-0.429362230557552	0.252077453594251
FOLR1	0.25027171767452	0.163193036272188	-0.431735560937498	0.338097990472765
C3orf67	0.296155453172377	-0.0704364884979464	-0.10312292949388	0.138009348840365
AC136475.3	0.375046156133547	-0.051739373246503	-0.359827700159143	0.255387783520561
OR51B5	0.332328082142216	-0.150909841152451	-0.297985699275879	0.134015923301068
AC097462.3	0.272914604241039	-0.0138595940613232	-0.112763263392035	0.251042006723894
AC011451.3	0.0142950579080886	0.107314615051315	-0.118361247923746	0.0843701869876949
AC093772.1	0.338283597391664	-0.134315646359728	-0.347026057309001	0.331218527158655
LINC00544	0.376217925633196	-0.139444314470921	-0.21323603308185	0.173825361298982
AC020934.2	0.159198348881212	-0.330754378913287	-0.101971256595125	0.372761617968745
TRBC2	0.459191756022225	0.0367493420863351	-0.454754683523921	0.342773611906209
ADCYAP1	0.293984972610302	-0.175476490698364	-0.306621483519509	0.398966268224125
STAT4	0.2877692518116	-0.064689109902439	-0.254980615996319	0.192880762623488
SMIM15-AS1	0.363104261008426	0.0712212926947141	-0.272520892282194	0.291078483739989
